店名,地址,圖標類型,Google評分,Google評論數,店鋪簡介,人均消費（VND）,人均消費（HKD）,招牌項目,早餐／營業時間,Google Maps,篩選條件,誘評抽查,核對日期,價格備註
An's Cafe,"78 Loseby, An Hải, Đà Nẵng 550000, Vietnam",🥣 燕麥／乳酪早餐碗,4.7,892,近美溪海灘的平價早餐咖啡店，健康碗選擇明確，亦有蛋料理、牛油果多士及果汁；不是純素專門店。,"₫50,000–100,000",約 HK$15–30,Granola＋水果＋乳酪碗、花生醬水果燕麥、Good Morning Smoothie,07:00–17:00；每月5日休息（出發前再核對）,https://www.google.com/maps/search/?api=1&query=An%27s+Cafe+Da+Nang,健康早餐碗；Google 4.0+；近期產品評論；非純素專門店；反誘評抽查,抽查 free、review、5 star、discount；只見 Grab 平台折扣，未見與評論或指定星級掛鈎,2026-08-26,"2026 可見菜單：Granola／水果燕麥各 ₫50,000；人均含飲品作旅程預算"
"Oh la la! Breakfast, Brunch, Lunch","64A Mai Thúc Lân, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam",🥣 燕麥／乳酪早餐碗,4.9,1073,安上區的歐式早餐與早午餐店，主打色彩鮮明的 smoothie bowl、yogurt mix、Egg Benedict 及牛油果多士。,"₫90,000–180,000（預算估算）",約 HK$27–54,Strawberry Smoothie Bowl、Yogurt Mix、Avocado Egg Benedict,08:00–17:00,https://www.google.com/maps/search/?api=1&query=Oh+la+la%21+Breakfast%2C+Brunch%2C+Lunch+Da+Nang,健康早餐碗；Google 4.0+；近期產品評論；非純素專門店；反誘評抽查,抽查 free、review、5 star、gift；可見迎賓茶、小食及餐後曲奇屬一般招待，未見與評論或指定星級掛鈎,2026-08-26,"可見餐飲價帶約 ₫30,000–120,000；人均按一份早餐碗加飲品估算"
Puna Specialty Coffee & Eatery,"132 Lê Quang Đạo, Bắc Mỹ An, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam",🥣 燕麥／乳酪早餐碗,4.7,1300,自家烘焙精品咖啡與全日早餐店，除 smoothie bowl 外亦有煙三文魚牛油果多士、Egg Benedict 及早餐 burrito。,"₫100,000–200,000",約 HK$30–60,Smoothie Bowl、Salmon Avocado Toast、Breakfast Burrito、手沖咖啡,07:00–22:00,https://www.google.com/maps/search/?api=1&query=Puna+Specialty+Coffee+%26+Eatery+Da+Nang,健康早餐碗；Google 4.0+；近期產品評論；非純素專門店；反誘評抽查,抽查 free、review、5 star、gift、discount；只見試飲及飲用水招待，未見與評論或指定星級掛鈎,2026-08-26,"Google 使用者回報人均區間；HKD 以 HK$1≈₫3,350 換算"
"Xôi, Bún măng gà bà Vui","55 Lê Hồng Phong, Hải Châu, Đà Nẵng 550000, Vietnam",🍚 越式早餐｜Xôi gà,4.6,271,專做雞肉糯米飯與竹筍雞湯粉的本地早餐小店，份量簡單實在，清雞湯及自家辣椒醬是特色。,"₫30,000–35,000",約 HK$9–10,Xôi gà、Bún măng gà、自家辣椒醬,04:00–21:00；早餐建議08:00前,https://www.google.com/maps/search/?api=1&query=X%C3%B4i%2C+B%C3%BAn+m%C4%83ng+g%C3%A0+b%C3%A0+Vui+Da+Nang,越式早餐；Google 4.0+；近期產品評論；本地食物可信度；反誘評抽查,抽查 free、review、5 star、gift、discount；未見以優惠換取評論或指定星級的明確證據,2026-08-26,"小／大份可見價 ₫30,000／₫35,000"
Quán Bò Né Quốc Minh,"28 Phan Đình Phùng, Hải Châu, Đà Nẵng 550000, Vietnam",🍳 越式早餐｜Bò né,4.3,80,數十年本地 bò né 早餐店，以熱鐵板上桌的牛肉、煎蛋、肉丸配法包及清湯，週末早上常滿座。,"₫60,000–70,000（近期評論常見）",約 HK$18–21,Bò né 牛肉煎蛋鐵板、Xíu mại 肉丸、熱法包,06:00–10:30／11:00,https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n+B%C3%B2+N%C3%A9+Qu%E1%BB%91c+Minh+Da+Nang,越式早餐；Google 4.0+；近期產品評論；本地食物可信度；反誘評抽查,抽查 free、review、5 star、gift、discount；未見以優惠換取評論或指定星級的明確證據,2026-08-26,"舊菜單價帶較低；地圖以 2024–2025 近期評論常見 ₫60,000–70,000 作旅程預算"
Bánh cuốn Tiến Hưng,"190 Trần Phú, Phước Ninh, Hải Châu, Đà Nẵng 550000, Vietnam",🥢 越式早餐｜Bánh cuốn,4.1,534,峴港老字號蒸粉卷店，薄米漿皮配肉碎、木耳、肉鬆、炸乾蔥及魚露，適合清爽早餐。,"₫40,000–50,000",約 HK$12–15,Bánh cuốn、Chả lụa、炸乾蔥,06:00–19:00,https://www.google.com/maps/search/?api=1&query=B%C3%A1nh+cu%E1%BB%91n+Ti%E1%BA%BFn+H%C6%B0ng+Da+Nang,越式早餐；Google 4.0+；500+評論；老字號；反誘評抽查,抽查 free、review、5 star、gift、discount；未見以優惠換取評論或指定星級的明確證據,2026-08-26,"近期評論可見一人份約 ₫40,000–48,000"
Bánh Bèo Nóng - 197 Núi Thành,"197 Núi Thành, Hòa Cường Bắc, Hải Châu, Đà Nẵng 550000, Vietnam",🟠 越式早餐｜Bánh bèo,4.9,18,只在早上供應的本地熱 bánh bèo 小店，米糕即點加蝦肉濕餡或蝦鬆乾餡，約10時前有售罄風險。,"₫20,000–30,000",約 HK$6–9,濕餡 Bánh bèo、乾餡 Bánh bèo、Chả,只售早上；約10:00前或售罄,https://www.google.com/maps/search/?api=1&query=B%C3%A1nh+B%C3%A8o+N%C3%B3ng+-+197+N%C3%BAi+Th%C3%A0nh+Da+Nang,越式早餐；Google 4.0+；低樣本本地特色；2026 本地報章與近期產品評論交叉核對；反誘評抽查,抽查 free、review、5 star、gift、discount；未見以優惠換取評論或指定星級的明確證據；Google 樣本量低,2026-08-26,"近期評論可見6小碗加1件肉約 ₫24,000；屬低樣本特色店"
2 Ladies Kitchen - Banh mi & coffee,"28 An Thượng 4, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam",🥖 Bánh mì 越式法包,4.8,1777,安上步行街的即叫即製 bánh mì 店，法包外脆內軟、餡料足，並聘用聽障員工；不是純素專門店。,"₫45,000–70,000（預算估算）",約 HK$13–21,Caramel Pork & Egg Bánh mì、Grilled Pork Bánh mì、Beef Bánh mì,07:30–22:30,https://www.google.com/maps/search/?api=1&query=2+Ladies+Kitchen+-+Banh+mi+%26+coffee+Da+Nang,Bánh mì 專門；Google 4.0+；近期產品評論；反誘評抽查,抽查 free drink、review、5 star、gift；迎賓蝶豆花水果茶為一般到店招待，未見與評論或指定星級掛鈎,2026-08-26,"可見牛肉 bánh mì 約 ₫55,000；人均按一份法包作旅程預算"
Bánh mì Happy Bread Mì AA,"10 Hùng Vương, Hải Châu, Đà Nẵng 550000, Vietnam",🥖 Bánh mì 越式法包,4.6,6749,韓市場附近、較適合旅客的冷氣 bánh mì 店，法包份量大、餡料選擇多，適合快速早餐或午餐。,"₫50,000–60,000",約 HK$15–18,Traditional Pork Bánh mì、Grilled Chicken Bánh mì、Mango Smoothie,08:00–21:30,https://www.google.com/maps/search/?api=1&query=B%C3%A1nh+m%C3%AC+Happy+Bread+M%C3%AC+AA+Da+Nang,Bánh mì 專門；Google 4.0+；500+評論；近期產品評論；反誘評抽查,抽查 free、review、5 star、gift、discount；未見以優惠換取評論或指定星級的明確證據,2026-08-26,"近期可見法包約 ₫50,000–60,000；HKD 以 HK$1≈₫3,350 換算"
Bánh mì Bà Lan,"62 Trưng Nữ Vương, Phước Ninh, Hải Châu, Đà Nẵng 550000, Vietnam",🥖 Bánh mì 越式法包,4.1,884,峴港老字號外帶 bánh mì，厚 pâté、豬／牛肉腸及本地香草是特色；原店只在下午至晚上營業。,"₫25,000–40,000",約 HK$7–12,Bánh mì đặc biệt、Pâté、Chả bò／Chả lụa,15:00–23:00（不是早餐時段）,https://www.google.com/maps/search/?api=1&query=Ba%CC%81nh+mi%CC%80+Ba%CC%80+Lan+Da+Nang,Bánh mì 專門；Google 4.0+；老字號；500+評論；反誘評抽查,抽查 free、review、5 star、gift、discount；未見以優惠換取評論或指定星級的明確證據,2026-08-26,"近期可見價格約 ₫25,000 起；原店為外帶、現金為主"
