店名,地址,圖標類型,Google評分,Google評論數,店鋪簡介,人均消費（VND）,人均消費（HKD）,招牌項目,Google Maps,篩選條件,誘評抽查,核對日期,價格備註
Roost Coffee Roasters | Da Nang,"57 Bà Huyện Thanh Quan, Ngũ Hành Sơn, Đà Nẵng, Vietnam",☕ 精品咖啡,4.9,477,自家烘焙的小型精品咖啡店，主打自家農場 Fine Robusta、現場烘豆及手沖。,"₫50,000–100,000（預算估算）",約 HK$15–30,Gia Lai Natural Fine Robusta、Espresso、Cold Brew,https://www.google.com/maps/search/?api=1&query=Roost+Coffee+Roasters+%7C+Da+Nang+Da+Nang,Cafe／甜品；Google 評分 4.8+；評論 300+；排除明確誘評證據,抽查 free、review、5 star；未見以優惠換取評分的明確證據,2026-08-18,Google Maps 未顯示公開人均；以店種及可見菜單／產品作旅程預算估算，出發前請核對最新菜單
ACACIA coffee and more,"05 An Cư 5, An Hải, Đà Nẵng, Vietnam",☕ 精品咖啡,4.8,705,帶花園與貓咪的悠閒咖啡店，適合慢坐，創意咖啡和甜點選擇突出。,"₫1–100,000",約 HK$0–30,Salted Cream Coffee、Peanut Butter Coffee、Flan,https://www.google.com/maps/search/?api=1&query=ACACIA+coffee+and+more+Da+Nang,Cafe／甜品；Google 評分 4.8+；評論 300+；排除明確誘評證據,抽查 free、review、discount；未見以優惠換取評分的明確證據,2026-08-18,"Google Maps 使用者回報區間；HKD 以 HK$1≈₫3,350 換算"
Trình cà phê,"25 Phạm Hồng Thái, Hải Châu, Đà Nẵng, Vietnam",🇻🇳 越南咖啡,4.8,7438,懷舊越南風格咖啡店，適合體驗本地咖啡與舊式家居氛圍。,"₫1–100,000",約 HK$0–30,Coconut Coffee、Egg Coffee、越南滴漏咖啡,https://www.google.com/maps/search/?api=1&query=Tr%C3%ACnh+c%C3%A0+ph%C3%AA+Da+Nang,Cafe／甜品；Google 評分 4.8+；評論 300+；排除明確誘評證據,抽查 free、5 star；未見以優惠換取評分的明確證據,2026-08-18,"Google Maps 使用者回報區間；HKD 以 HK$1≈₫3,350 換算"
Outta da Blue Đà Nẵng,"66 Pasteur, Hải Châu, Đà Nẵng, Vietnam",☕ 精品咖啡,4.9,453,色彩鮮明的精品咖啡店，重視咖啡豆與冷萃，環境適合短休或工作。,"₫1–100,000",約 HK$0–30,Orange Cold Brew、Cold Brew、巴西芝士麵包,https://www.google.com/maps/search/?api=1&query=Outta+da+Blue+%C4%90%C3%A0+N%E1%BA%B5ng+Da+Nang,Cafe／甜品；Google 評分 4.8+；評論 300+；排除明確誘評證據,抽查 free、5 star；有一般贈飲描述，但未見與指定評分掛鈎,2026-08-18,"Google Maps 使用者回報區間；HKD 以 HK$1≈₫3,350 換算"
Passport Coffee Lab | Specialty Coffee & Brunch,"78 Mai Thúc Lân, Ngũ Hành Sơn, Đà Nẵng, Vietnam",☕ 精品咖啡,4.8,480,鄰近美溪海灘的精品咖啡與早午餐店，樓上較安靜，適合工作。,"₫1–100,000",約 HK$0–30,Flat White、手沖咖啡、Pastry,https://www.google.com/maps/search/?api=1&query=Passport+Coffee+Lab+%7C+Specialty+Coffee+%26+Brunch+Da+Nang,Cafe／甜品；Google 評分 4.8+；評論 300+；排除明確誘評證據,抽查 free、5 star；未見以優惠換取評分的明確證據,2026-08-18,"Google Maps 使用者回報區間；HKD 以 HK$1≈₫3,350 換算"
O2o First Roast,"18/3B Phan Tứ, Ngũ Hành Sơn, Đà Nẵng, Vietnam",☕ 精品咖啡,4.9,383,以選豆和沖煮交流為核心的小型精品店，常見 V60、Cold Brew 及咖啡 tasting。,"₫1–100,000",約 HK$0–30,V60、Cold Brew、Cappuccino,https://www.google.com/maps/search/?api=1&query=O2o+First+Roast+Da+Nang,Cafe／甜品；Google 評分 4.8+；評論 300+；排除明確誘評證據,抽查 free、5 star；試飲及豆折扣未見與評論或指定評分掛鈎,2026-08-18,"Google Maps 使用者回報區間；HKD 以 HK$1≈₫3,350 換算"
[91cc] 91 Concept Coffee,"91 Trần Quốc Toản, Hải Châu, Đà Nẵng, Vietnam",🇻🇳 越南咖啡,4.8,325,市中心氣氛舒適的咖啡店，越南風味創意咖啡選擇較多。,"₫1–100,000",約 HK$0–30,Honey Butter Latte、Coconut Coffee、Egg Coffee,https://www.google.com/maps/search/?api=1&query=%5B91cc%5D+91+Concept+Coffee+Da+Nang,Cafe／甜品；Google 評分 4.8+；評論 300+；排除明確誘評證據,抽查 free、5 star；未見以優惠換取評分的明確證據,2026-08-18,"Google Maps 使用者回報區間；HKD 以 HK$1≈₫3,350 換算"
Freezedom Da Nang,"156 Mai Thúc Lân, Ngũ Hành Sơn, Đà Nẵng, Vietnam",🍨 Gelato／雪糕,4.9,643,甜品雪糕專門店，口味與配料選擇多，適合海灘區飯後甜品。,"₫50,000–100,000（預算估算）",約 HK$15–30,Key Lime Cheesecake、Oreo Cookie Crumbs 雪糕,https://www.google.com/maps/search/?api=1&query=Freezedom+Da+Nang+Da+Nang,Cafe／甜品；Google 評分 4.8+；評論 300+；排除明確誘評證據,抽查 free、review；未見以優惠換取評分的明確證據,2026-08-18,Google Maps 未顯示公開人均；以店種及可見菜單／產品作旅程預算估算，出發前請核對最新菜單
Nang Ngot Patisserie,"20 Phan Bội Châu, Hải Châu, Đà Nẵng, Vietnam",🍰 法式甜點／烘焙,4.8,343,市中心法式甜點店，蛋糕定價相對親民，適合下午茶或外帶。,"₫50,000–150,000（預算估算）",約 HK$15–45,Blueberry Cheesecake、Hibiscus Orange Tea,https://www.google.com/maps/search/?api=1&query=Nang+Ngot+Patisserie+Da+Nang,Cafe／甜品；Google 評分 4.8+；評論 300+；排除明確誘評證據,抽查 free、review；未見以優惠換取評分的明確證據,2026-08-18,Google Maps 未顯示公開人均；以店種及可見菜單／產品作旅程預算估算，出發前請核對最新菜單
GioiA Gelati - Gelati are joy,"59 An Thượng 2, Ngũ Hành Sơn, Đà Nẵng, Vietnam",🍨 Gelato／雪糕,4.8,435,安上區 Gelato 專門店，提供多款口味，亦有無奶與純素口味可選。,"₫50,000–100,000（預算估算）",約 HK$15–30,Salted Caramel Gelato、每日口味 Gelato,https://www.google.com/maps/search/?api=1&query=GioiA+Gelati+-+Gelati+are+joy+Da+Nang,Cafe／甜品；Google 評分 4.8+；評論 300+；排除明確誘評證據,抽查 free、review；只見無奶選項，未見以優惠換取評分的明確證據,2026-08-18,Google Maps 未顯示公開人均；以店種及可見菜單／產品作旅程預算估算，出發前請核對最新菜單
