店名,Google評分,Google評論數,審核結果,誘評證據／判斷,核對日期
Roost Coffee Roasters | Da Nang,4.9,477,通過,抽查 free、review、5 star；未見以優惠換取評分的明確證據；搜尋樣本未見不等於永久保證,2026-08-18
ACACIA coffee and more,4.8,705,通過,抽查 free、review、discount；未見以優惠換取評分的明確證據；搜尋樣本未見不等於永久保證,2026-08-18
Trình cà phê,4.8,7438,通過,抽查 free、5 star；未見以優惠換取評分的明確證據；搜尋樣本未見不等於永久保證,2026-08-18
Outta da Blue Đà Nẵng,4.9,453,通過,抽查 free、5 star；有一般贈飲描述，但未見與指定評分掛鈎；搜尋樣本未見不等於永久保證,2026-08-18
Passport Coffee Lab | Specialty Coffee & Brunch,4.8,480,通過,抽查 free、5 star；未見以優惠換取評分的明確證據；搜尋樣本未見不等於永久保證,2026-08-18
O2o First Roast,4.9,383,通過,抽查 free、5 star；試飲及豆折扣未見與評論或指定評分掛鈎；搜尋樣本未見不等於永久保證,2026-08-18
[91cc] 91 Concept Coffee,4.8,325,通過,抽查 free、5 star；未見以優惠換取評分的明確證據；搜尋樣本未見不等於永久保證,2026-08-18
Freezedom Da Nang,4.9,643,通過,抽查 free、review；未見以優惠換取評分的明確證據；搜尋樣本未見不等於永久保證,2026-08-18
Nang Ngot Patisserie,4.8,343,通過,抽查 free、review；未見以優惠換取評分的明確證據；搜尋樣本未見不等於永久保證,2026-08-18
GioiA Gelati - Gelati are joy,4.8,435,通過,抽查 free、review；只見無奶選項，未見以優惠換取評分的明確證據；搜尋樣本未見不等於永久保證,2026-08-18
Little Mango,4.9,1494,通過,抽查 free、review；未見以優惠換取評分的明確證據；搜尋樣本未見不等於永久保證,2026-08-18
Kem bơ Bé Huệ,4.9,668,通過,抽查 free；只見免費占卜描述，未見以優惠換取評分的明確證據；搜尋樣本未見不等於永久保證,2026-08-18
Oslow Coffee,5.0,1070,排除,多名評論者指店方以免費曲奇換取 5 星評論；證據明確且重複出現,2026-08-18
Zi Coffee & Roastery（34 Lê Quang Đạo）,4.8,527,排除,評論指免費飲品及回訪折扣推高評分；店方回覆承認向支持者提供相關答謝,2026-08-18
다낭과일집&빙수 Trái cây - Bingsu Đà Nẵng,4.8,1315,排除,評論明確提及以免費零食／椰子餅換取評論及 5 星,2026-08-18
ALLUVIA CHOCOLATE ĐÀ NẴNG,4.9,1065,排除,多則評論明確提及留評可獲免費朱古力或禮物,2026-08-18
The Cups Coffee Roastery,4.7,4561,排除,未達 4.8；另有評論稱留評後沒有收到免費禮物，屬誘評風險,2026-08-18
XLIII Specialty Coffee,4.7,9727,排除,未達 4.8；另有評論指職員催促顧客留下評論,2026-08-18
