"餐廳名稱","地址","圖標類型","Michelin","Google評分","餐廳簡介","人均消費（VND，約）","餐廳名物","評分核對日期","備註"
"La Maison 1888","InterContinental Danang Sun Peninsula Resort, Bãi Bắc, Sơn Trà, Đà Nẵng 550000, Vietnam","🇫🇷 法國／歐洲餐","一星","4.1","位於洲際酒店山頂殖民風大宅的法國現代料理，主打五道或八道式品嘗餐單。","4,000,000–6,000,000 VND（約 HK$1,195–1,790）","松露汁焗意粉方磚、季節品嘗餐單","2026-08-18","需預約；未含酒水及酒店接送。"
"Ăn Thôi","114 Bạch Đằng, Hải Châu, Đà Nẵng 550000, Vietnam","🍽️ 越南菜","必比登","4.8","鄰近韓市場及韓江的休閒越南餐廳，餐單精簡，適合購物後用餐。","120,000–250,000 VND（約 HK$35–75）","蝦、豬肉及魷魚餡脆皮 bánh xèo 越式煎餅","2026-08-18","繁忙時段可能等位。"
"Bà Đông","145 Huỳnh Thúc Kháng, Hải Châu, Đà Nẵng 550000, Vietnam","🍜 麵食／街頭小吃","必比登","4.1","老字號 bún mắm 店，以家傳發酵魚露、辣椒、蒜及水果調成濃香醬汁。","40,000–80,000 VND（約 HK$10–25）","脆皮燒肉 bún mắm、什錦 bún mắm、甘蔗汁","2026-08-18","魚露味道較濃。"
"Bánh Xèo 76","85A Lê Văn Hưu, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam","🍽️ 越南菜","必比登","4.6","門前炭爐即烤豬肉的小店，主打中部越南煎餅及烤肉小吃。","80,000–180,000 VND（約 HK$25–55）","bánh xèo、炭烤豬肉、玉米卷、烤肉米粉","2026-08-18","適合多人分享。"
"Bé Ni 2","228 Võ Nguyên Giáp, An Hải, Đà Nẵng 550000, Vietnam","🦐 海鮮","必比登","4.8","近海灘的熱鬧海鮮餐廳，可從水缸挑選海鮮並指定烹調方式。","300,000–700,000 VND（約 HK$90–210）","鮮蝦、魷魚、蟹及貝類海鮮","2026-08-18","海鮮多按重量計價，下單前確認時價。"
"Bún Bò Bà Rơi (Hải Châu)","5 Phan Thành Tài, Hòa Cường, Đà Nẵng 550000, Vietnam","🍜 麵食／街頭小吃","必比登","4.5","順化家庭經營的牛肉米線店，牛骨與牛肉湯底熬煮一夜，味道厚實。","50,000–100,000 VND（約 HK$15–30）","bún bò đặc biệt 什錦牛肉米線、牛筋、牛舌及豬手","2026-08-18","想一次試多款配料可點 đặc biệt。"
"Bún Bò Huế Bà Thương","23 Trần Quốc Toản, Hải Châu, Đà Nẵng 550000, Vietnam","🍜 麵食／街頭小吃","必比登","4.1","經營逾半世紀的順化牛肉米線店，以香茅、牛骨及微辣湯底見稱。","45,000–90,000 VND（約 HK$15–25）","bún bò Huế、牛肉及豬手米線","2026-08-18","傳統口味帶微辣。"
"Bún Chả Cá 109","109 Nguyễn Chí Thanh, Hải Châu, Đà Nẵng 550000, Vietnam","🍜 麵食／街頭小吃","必比登","4.2","峴港老牌魚餅米線店，湯底清甜，適合早餐或簡單一餐。","40,000–80,000 VND（約 HK$10–25）","魚餅米線、鮪魚／鯖魚魚餅什錦碗","2026-08-18","用餐高峰座位較緊湊。"
"Bún Chả Cá Hờn","113/3 Nguyễn Chí Thanh, Hải Châu, Đà Nẵng 550000, Vietnam","🍜 麵食／街頭小吃","必比登","4.3","藏於小巷的地道魚餅米線店，以魚香湯底和多款手工魚餅見稱。","40,000–80,000 VND（約 HK$10–25）","bún chả cá 魚餅米線、什錦魚餅","2026-08-18","入口在巷內。"
"Indian Aroma","69 Hoài Thanh, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam","🥘 印度菜","必比登","4.7","由經驗豐富的印度廚師主理，供應涵蓋南北印度的經典菜式。","200,000–450,000 VND（約 HK$60–135）","saag ghosh 羊肉菠菜咖喱、蒜香 naan、papadam","2026-08-18","Google Maps 顯示現址為 69 Hoài Thanh；Michelin 2025 刊載舊址。"
