店名,Google評分,Google評論數,審核結果,誘評／品質證據判斷,核對日期
An's Cafe,4.7,892,通過,抽查 free、review、5 star、discount；只見 Grab 平台折扣，未見與評論或指定星級掛鈎；搜尋樣本未見不等於永久保證,2026-08-26
"Oh la la! Breakfast, Brunch, Lunch",4.9,1073,通過,抽查 free、review、5 star、gift；可見迎賓茶、小食及餐後曲奇屬一般招待，未見與評論或指定星級掛鈎；搜尋樣本未見不等於永久保證,2026-08-26
Puna Specialty Coffee & Eatery,4.7,1300,通過,抽查 free、review、5 star、gift、discount；只見試飲及飲用水招待，未見與評論或指定星級掛鈎；搜尋樣本未見不等於永久保證,2026-08-26
"Xôi, Bún măng gà bà Vui",4.6,271,通過,抽查 free、review、5 star、gift、discount；未見以優惠換取評論或指定星級的明確證據；搜尋樣本未見不等於永久保證,2026-08-26
Quán Bò Né Quốc Minh,4.3,80,通過,抽查 free、review、5 star、gift、discount；未見以優惠換取評論或指定星級的明確證據；搜尋樣本未見不等於永久保證,2026-08-26
Bánh cuốn Tiến Hưng,4.1,534,通過,抽查 free、review、5 star、gift、discount；未見以優惠換取評論或指定星級的明確證據；搜尋樣本未見不等於永久保證,2026-08-26
Bánh Bèo Nóng - 197 Núi Thành,4.9,18,通過,抽查 free、review、5 star、gift、discount；未見以優惠換取評論或指定星級的明確證據；Google 樣本量低；搜尋樣本未見不等於永久保證,2026-08-26
2 Ladies Kitchen - Banh mi & coffee,4.8,1777,通過,抽查 free drink、review、5 star、gift；迎賓蝶豆花水果茶為一般到店招待，未見與評論或指定星級掛鈎；搜尋樣本未見不等於永久保證,2026-08-26
Bánh mì Happy Bread Mì AA,4.6,6749,通過,抽查 free、review、5 star、gift、discount；未見以優惠換取評論或指定星級的明確證據；搜尋樣本未見不等於永久保證,2026-08-26
Bánh mì Bà Lan,4.1,884,通過,抽查 free、review、5 star、gift、discount；未見以優惠換取評論或指定星級的明確證據；搜尋樣本未見不等於永久保證,2026-08-26
Heo nướng lu Ông Phú Đạt,4.7,864,通過,抽查 free water、review、5 star、gift；購買法包附樽裝水為一般產品組合，未見與評論或指定星級掛鈎；搜尋樣本未見不等於永久保證,2026-08-26
Coco Smoocha,4.9,260,暫緩,菜單高度吻合，但店方在 Google Business Profile 社群披露收到 fake or paid reviews 警告並被移除36則評論；店方有異議，未能證明誘評，但評論完整性風險未消除,2026-08-26
Bánh mì Cô Tiên,4.8,6624,暫緩,未見明確誘評證據，但2026-08中旬近期評論出現雞肉硬骨／軟骨及店方未處理的嚴重食安與服務投訴；先觀察後續評論,2026-08-26
Bánh Mì Ông Tý,3.8,154,排除,低於既定 Google 4.0 最低門檻,2026-08-26
Roots Plant-Based Cafe,4.7,4000,排除,純素專門店，按原有條件排除,2026-08-26
KURUMI,4.9,2500,排除,純素／植物性專門店，按原有條件排除,2026-08-26
IVEGAN SUPERSHOP,4.9,2200,排除,純素專門店，按原有條件排除,2026-08-26
